Restaurant_ID,Restaurant_Name,Cuisine,City,State,Rating,Delivery_Time_Min,Menu_Item,Category,Price,Calories,Is_Veg
R0061,Cafe Delight,Cafe,Phoenix,AZ,3.9,24,Sushi Roll,Starter,$11.99,361,Yes
R0077,Taco Fiesta,Mexican,Dallas,TX,3.7,29,Burger,Dessert,$8.99,861,Yes
R0184,BBQ Nation,American,Los Angeles,CA,4.8,54,Butter Chicken,Snack,$13.99,938,Yes
R0215,Pizza Palace,Italian,Seattle,WA,4.9,50,Butter Chicken,Snack,$13.99,592,Yes
R0040,BBQ Nation,American,Dallas,TX,3.7,53,Coffee,Dessert,$3.99,262,No
R0114,Sushi Express,Japanese,Houston,TX,5.0,23,Burger,Main Course,$8.99,293,Yes
R0169,Pizza Palace,Italian,Phoenix,AZ,4.8,17,Taco,Main Course,$4.99,1015,No
R0202,Spice Route,Indian,Dallas,TX,4.9,50,Pizza,Starter,$12.99,138,No
R0053,Burger Haven,American,Seattle,WA,4.4,59,Noodles,Starter,$9.49,976,Yes
R0210,Dragon Wok,Chinese,Seattle,WA,4.1,57,Coffee,Main Course,$3.99,775,No
R0134,Burger Haven,American,Los Angeles,CA,3.6,34,Pasta,Starter,$10.49,363,No
R0064,Cafe Delight,Cafe,Los Angeles,CA,4.8,49,Coffee,Dessert,$3.99,616,No
R0106,Healthy Bowl,Healthy,Los Angeles,CA,4.2,28,Sushi Roll,Snack,$11.99,264,Yes
R0202,Sushi Express,Japanese,New York,NY,4.1,46,Coffee,Snack,$3.99,341,Yes
R0172,BBQ Nation,American,Dallas,TX,4.0,28,Noodles,Beverage,$9.49,131,No
R0162,Pizza Palace,Italian,Phoenix,AZ,4.8,34,Noodles,Starter,$9.49,669,No
R0142,Healthy Bowl,Healthy,Phoenix,AZ,4.6,22,Coffee,Dessert,$3.99,307,No
R0033,Spice Route,Indian,New York,NY,3.6,23,Butter Chicken,Dessert,$13.99,267,Yes
R0079,Spice Route,Indian,Phoenix,AZ,4.4,26,Butter Chicken,Starter,$13.99,163,No
R0134,BBQ Nation,American,New York,NY,3.7,31,Taco,Beverage,$4.99,698,No
R0271,Healthy Bowl,Healthy,Dallas,TX,3.5,24,Butter Chicken,Starter,$13.99,877,No
R0209,BBQ Nation,American,Boston,MA,4.1,19,Noodles,Beverage,$9.49,691,Yes
R0071,BBQ Nation,American,Los Angeles,CA,3.7,45,Pasta,Beverage,$10.49,1045,No
R0167,Sushi Express,Japanese,New York,NY,4.6,48,Pasta,Main Course,$10.49,686,No
R0081,Healthy Bowl,Healthy,New York,NY,4.3,42,Pasta,Beverage,$10.49,915,Yes
R0206,BBQ Nation,American,Houston,TX,4.5,55,Salad,Dessert,$7.49,584,Yes
R0001,Taco Fiesta,Mexican,New York,NY,4.1,23,Butter Chicken,Main Course,$13.99,813,No
R0293,Sushi Express,Japanese,Houston,TX,4.9,40,Coffee,Snack,$3.99,695,No
R0004,Taco Fiesta,Mexican,Dallas,TX,4.9,43,Pizza,Snack,$12.99,612,Yes
R0155,Burger Haven,American,New York,NY,4.3,42,Sushi Roll,Dessert,$11.99,326,No
R0091,Cafe Delight,Cafe,Seattle,WA,3.7,22,Salad,Beverage,$7.49,905,No
R0276,Sushi Express,Japanese,Seattle,WA,4.8,31,Coffee,Snack,$3.99,924,Yes
R0253,Sushi Express,Japanese,Chicago,IL,3.8,26,Pizza,Starter,$12.99,479,No
R0035,Spice Route,Indian,New York,NY,5.0,15,Butter Chicken,Starter,$13.99,712,No
R0046,Spice Route,Indian,Chicago,IL,4.4,40,Coffee,Main Course,$3.99,506,No
R0144,Cafe Delight,Cafe,New York,NY,4.3,53,Paneer Tikka,Starter,$10.99,1138,No
R0104,Burger Haven,American,Seattle,WA,3.6,28,Pasta,Beverage,$10.49,760,No
R0039,Taco Fiesta,Mexican,New York,NY,4.6,43,Taco,Starter,$4.99,96,Yes
R0053,BBQ Nation,American,Seattle,WA,4.0,15,Noodles,Dessert,$9.49,379,Yes
R0222,Healthy Bowl,Healthy,Seattle,WA,4.2,18,Pasta,Dessert,$10.49,309,No
R0202,BBQ Nation,American,Houston,TX,3.7,58,Taco,Beverage,$4.99,699,Yes
R0237,Healthy Bowl,Healthy,Boston,MA,4.6,24,Burger,Beverage,$8.99,187,Yes
R0289,Spice Route,Indian,New York,NY,3.5,16,Paneer Tikka,Starter,$10.99,704,No
R0128,Dragon Wok,Chinese,Boston,MA,4.6,24,Taco,Main Course,$4.99,475,Yes
R0109,Dragon Wok,Chinese,Chicago,IL,4.7,31,Paneer Tikka,Beverage,$10.99,1111,No
R0065,BBQ Nation,American,Chicago,IL,4.9,36,Noodles,Dessert,$9.49,1101,No
R0224,Mediterraneo,Mediterranean,Dallas,TX,4.7,50,Butter Chicken,Dessert,$13.99,270,Yes
R0110,Pizza Palace,Italian,Chicago,IL,4.1,40,Pasta,Starter,$10.49,888,No
R0213,Healthy Bowl,Healthy,Seattle,WA,5.0,31,Pizza,Starter,$12.99,646,No
R0180,Pizza Palace,Italian,Boston,MA,3.9,31,Coffee,Dessert,$3.99,539,Yes
R0289,Pizza Palace,Italian,Dallas,TX,4.3,36,Salad,Beverage,$7.49,1037,Yes
R0175,Healthy Bowl,Healthy,Chicago,IL,4.8,28,Burger,Main Course,$8.99,782,No
R0006,Pizza Palace,Italian,Houston,TX,4.7,57,Noodles,Main Course,$9.49,319,Yes
R0132,Dragon Wok,Chinese,Los Angeles,CA,4.4,42,Noodles,Main Course,$9.49,124,No
R0032,Spice Route,Indian,Seattle,WA,3.9,15,Taco,Starter,$4.99,269,Yes
R0175,Burger Haven,American,New York,NY,4.6,35,Taco,Starter,$4.99,667,Yes
R0123,Pizza Palace,Italian,Dallas,TX,4.0,53,Pizza,Beverage,$12.99,890,No
R0278,Dragon Wok,Chinese,Phoenix,AZ,4.1,45,Salad,Starter,$7.49,1176,No
R0172,Pizza Palace,Italian,Boston,MA,4.1,44,Paneer Tikka,Snack,$10.99,756,No
R0182,BBQ Nation,American,Seattle,WA,4.4,15,Coffee,Main Course,$3.99,966,Yes
R0198,Burger Haven,American,Seattle,WA,5.0,19,Taco,Beverage,$4.99,386,No
R0172,Spice Route,Indian,Phoenix,AZ,4.8,35,Paneer Tikka,Starter,$10.99,634,Yes
R0173,BBQ Nation,American,Boston,MA,4.0,42,Noodles,Main Course,$9.49,129,Yes
R0027,Healthy Bowl,Healthy,New York,NY,3.9,22,Coffee,Dessert,$3.99,818,No
R0242,Sushi Express,Japanese,Seattle,WA,4.9,60,Paneer Tikka,Beverage,$10.99,734,Yes
R0222,Mediterraneo,Mediterranean,Dallas,TX,3.6,60,Burger,Snack,$8.99,885,No
R0049,Cafe Delight,Cafe,Chicago,IL,4.2,46,Butter Chicken,Main Course,$13.99,582,Yes
R0255,Burger Haven,American,Phoenix,AZ,4.8,15,Paneer Tikka,Beverage,$10.99,410,No
R0228,BBQ Nation,American,Dallas,TX,4.8,35,Salad,Snack,$7.49,1188,Yes
R0059,Dragon Wok,Chinese,Seattle,WA,4.2,20,Coffee,Main Course,$3.99,872,Yes
R0079,Pizza Palace,Italian,Dallas,TX,3.8,15,Paneer Tikka,Dessert,$10.99,1070,Yes
R0122,Taco Fiesta,Mexican,Phoenix,AZ,4.5,58,Butter Chicken,Beverage,$13.99,525,No
R0055,Sushi Express,Japanese,Houston,TX,4.8,37,Coffee,Snack,$3.99,325,Yes
R0142,Mediterraneo,Mediterranean,Dallas,TX,3.6,53,Pasta,Main Course,$10.49,101,Yes
R0250,Healthy Bowl,Healthy,New York,NY,4.7,59,Sushi Roll,Snack,$11.99,277,Yes
R0048,BBQ Nation,American,Phoenix,AZ,4.2,48,Pizza,Starter,$12.99,328,No
R0117,BBQ Nation,American,Chicago,IL,3.9,15,Pizza,Main Course,$12.99,724,Yes
R0066,Sushi Express,Japanese,New York,NY,4.6,43,Noodles,Starter,$9.49,981,No
R0283,Mediterraneo,Mediterranean,Boston,MA,3.5,57,Sushi Roll,Beverage,$11.99,976,No
R0119,Burger Haven,American,New York,NY,3.6,29,Noodles,Snack,$9.49,195,Yes
R0103,BBQ Nation,American,Phoenix,AZ,3.7,31,Salad,Main Course,$7.49,602,No
R0114,Spice Route,Indian,Chicago,IL,3.7,17,Paneer Tikka,Dessert,$10.99,727,No
R0232,Burger Haven,American,Chicago,IL,4.7,36,Butter Chicken,Main Course,$13.99,945,Yes
R0060,Sushi Express,Japanese,Chicago,IL,3.7,39,Sushi Roll,Main Course,$11.99,647,Yes
R0121,Burger Haven,American,Dallas,TX,4.2,39,Butter Chicken,Main Course,$13.99,498,No
R0166,Dragon Wok,Chinese,Dallas,TX,4.2,17,Pizza,Dessert,$12.99,1120,No
R0297,Taco Fiesta,Mexican,Seattle,WA,5.0,49,Taco,Dessert,$4.99,402,Yes
R0197,Taco Fiesta,Mexican,Los Angeles,CA,3.6,56,Pasta,Beverage,$10.49,636,No
R0070,Cafe Delight,Cafe,Houston,TX,5.0,55,Taco,Snack,$4.99,912,No
R0044,Spice Route,Indian,Dallas,TX,4.1,29,Noodles,Main Course,$9.49,315,No
R0134,Dragon Wok,Chinese,Boston,MA,4.0,23,Butter Chicken,Main Course,$13.99,996,Yes
R0296,Cafe Delight,Cafe,Phoenix,AZ,4.3,52,Salad,Snack,$7.49,512,No
R0201,Pizza Palace,Italian,Seattle,WA,4.2,39,Pizza,Beverage,$12.99,816,Yes
R0227,Dragon Wok,Chinese,Boston,MA,3.8,59,Butter Chicken,Snack,$13.99,357,No
R0249,Taco Fiesta,Mexican,Chicago,IL,3.7,54,Sushi Roll,Beverage,$11.99,1002,No
R0194,Mediterraneo,Mediterranean,Chicago,IL,4.7,31,Burger,Beverage,$8.99,431,No
R0293,Healthy Bowl,Healthy,Dallas,TX,3.8,58,Salad,Snack,$7.49,1050,No
R0244,Taco Fiesta,Mexican,New York,NY,3.7,27,Sushi Roll,Beverage,$11.99,791,Yes
R0275,Spice Route,Indian,Houston,TX,3.6,48,Pasta,Starter,$10.49,1157,Yes
R0097,Spice Route,Indian,Boston,MA,4.1,48,Paneer Tikka,Dessert,$10.99,869,Yes
R0217,Cafe Delight,Cafe,Boston,MA,4.7,37,Taco,Starter,$4.99,683,Yes
R0080,Cafe Delight,Cafe,Boston,MA,4.0,38,Butter Chicken,Beverage,$13.99,280,No
R0040,Healthy Bowl,Healthy,Chicago,IL,4.4,33,Butter Chicken,Main Course,$13.99,867,Yes
R0227,Cafe Delight,Cafe,Chicago,IL,3.9,22,Sushi Roll,Dessert,$11.99,974,No
R0140,BBQ Nation,American,Phoenix,AZ,4.0,50,Pizza,Beverage,$12.99,1112,No
R0262,BBQ Nation,American,Los Angeles,CA,4.2,36,Salad,Dessert,$7.49,1070,Yes
R0033,Healthy Bowl,Healthy,Houston,TX,4.5,39,Coffee,Beverage,$3.99,609,Yes
R0179,Burger Haven,American,Chicago,IL,3.5,45,Butter Chicken,Dessert,$13.99,855,Yes
R0239,Dragon Wok,Chinese,Seattle,WA,4.7,38,Burger,Snack,$8.99,853,Yes
R0253,Spice Route,Indian,Seattle,WA,3.9,36,Pasta,Snack,$10.49,101,No
R0143,Taco Fiesta,Mexican,Boston,MA,3.8,32,Pizza,Main Course,$12.99,629,No
R0217,Sushi Express,Japanese,Chicago,IL,4.6,29,Noodles,Starter,$9.49,608,No
R0010,Sushi Express,Japanese,Seattle,WA,4.5,32,Coffee,Starter,$3.99,584,No
R0261,Taco Fiesta,Mexican,Chicago,IL,3.7,27,Butter Chicken,Beverage,$13.99,674,No
R0186,Healthy Bowl,Healthy,Dallas,TX,4.1,37,Coffee,Main Course,$3.99,1051,No
R0222,Cafe Delight,Cafe,Seattle,WA,4.3,39,Pasta,Dessert,$10.49,509,Yes
R0211,Healthy Bowl,Healthy,Chicago,IL,3.5,23,Salad,Main Course,$7.49,542,No
R0146,Dragon Wok,Chinese,Boston,MA,4.0,34,Pizza,Snack,$12.99,206,No
R0079,Cafe Delight,Cafe,Los Angeles,CA,3.7,15,Burger,Starter,$8.99,582,No
R0071,Burger Haven,American,Los Angeles,CA,4.2,29,Butter Chicken,Snack,$13.99,286,Yes
R0129,BBQ Nation,American,Phoenix,AZ,4.4,15,Paneer Tikka,Snack,$10.99,337,No
R0054,Mediterraneo,Mediterranean,Los Angeles,CA,4.0,39,Taco,Main Course,$4.99,468,Yes
R0009,Dragon Wok,Chinese,Houston,TX,4.1,32,Burger,Dessert,$8.99,328,Yes
R0250,Pizza Palace,Italian,Phoenix,AZ,4.0,48,Salad,Dessert,$7.49,1066,No
R0064,Dragon Wok,Chinese,Houston,TX,4.2,41,Paneer Tikka,Snack,$10.99,608,Yes
R0232,Healthy Bowl,Healthy,New York,NY,3.9,38,Pizza,Starter,$12.99,988,Yes
R0175,Cafe Delight,Cafe,New York,NY,3.7,43,Salad,Starter,$7.49,419,Yes
R0053,Taco Fiesta,Mexican,Seattle,WA,3.5,23,Taco,Main Course,$4.99,1068,Yes
R0184,Cafe Delight,Cafe,Los Angeles,CA,4.5,38,Noodles,Starter,$9.49,1036,No
R0100,Taco Fiesta,Mexican,Chicago,IL,4.9,33,Pasta,Beverage,$10.49,448,No
R0228,Healthy Bowl,Healthy,New York,NY,4.3,60,Salad,Main Course,$7.49,1044,No
R0204,Healthy Bowl,Healthy,Chicago,IL,3.8,54,Sushi Roll,Beverage,$11.99,216,No
R0259,Spice Route,Indian,Chicago,IL,4.0,42,Noodles,Dessert,$9.49,853,No
R0149,Spice Route,Indian,Seattle,WA,4.2,60,Salad,Beverage,$7.49,288,No
R0289,Pizza Palace,Italian,Boston,MA,3.6,29,Butter Chicken,Starter,$13.99,706,No
R0027,Sushi Express,Japanese,Phoenix,AZ,4.6,46,Coffee,Starter,$3.99,152,No
R0148,BBQ Nation,American,Houston,TX,5.0,52,Noodles,Starter,$9.49,1064,Yes
R0112,Healthy Bowl,Healthy,Seattle,WA,4.4,48,Pasta,Starter,$10.49,851,Yes
R0180,Dragon Wok,Chinese,Houston,TX,4.9,52,Taco,Starter,$4.99,396,Yes
R0123,Spice Route,Indian,Seattle,WA,4.3,55,Taco,Starter,$4.99,1169,Yes
R0085,Sushi Express,Japanese,Houston,TX,3.9,25,Burger,Beverage,$8.99,792,No
R0159,Dragon Wok,Chinese,Seattle,WA,4.7,22,Coffee,Snack,$3.99,919,No
R0278,Mediterraneo,Mediterranean,Houston,TX,3.8,35,Paneer Tikka,Snack,$10.99,348,No
R0085,Sushi Express,Japanese,Houston,TX,4.8,23,Coffee,Beverage,$3.99,1019,Yes
R0028,Dragon Wok,Chinese,New York,NY,4.2,24,Pasta,Beverage,$10.49,556,Yes
R0199,Healthy Bowl,Healthy,Chicago,IL,4.9,29,Noodles,Starter,$9.49,283,Yes
R0237,Taco Fiesta,Mexican,Chicago,IL,4.1,16,Pizza,Starter,$12.99,333,No
R0219,Dragon Wok,Chinese,Chicago,IL,4.4,58,Paneer Tikka,Main Course,$10.99,140,Yes
R0165,Healthy Bowl,Healthy,Boston,MA,4.4,27,Pasta,Main Course,$10.49,1010,Yes
R0110,Healthy Bowl,Healthy,Seattle,WA,4.3,17,Salad,Snack,$7.49,110,No
R0036,Healthy Bowl,Healthy,New York,NY,4.2,53,Butter Chicken,Snack,$13.99,953,Yes
R0112,Pizza Palace,Italian,Seattle,WA,4.2,19,Taco,Snack,$4.99,106,Yes
R0050,Healthy Bowl,Healthy,Dallas,TX,3.5,49,Coffee,Starter,$3.99,894,Yes
R0053,Mediterraneo,Mediterranean,New York,NY,3.5,21,Coffee,Starter,$3.99,432,No
R0282,Sushi Express,Japanese,Chicago,IL,4.6,16,Butter Chicken,Snack,$13.99,951,No
R0207,Burger Haven,American,Dallas,TX,4.0,47,Coffee,Starter,$3.99,778,No
R0097,BBQ Nation,American,Houston,TX,3.6,33,Sushi Roll,Beverage,$11.99,1045,Yes
R0194,Burger Haven,American,Los Angeles,CA,3.6,20,Pizza,Dessert,$12.99,1177,Yes
R0104,Mediterraneo,Mediterranean,Dallas,TX,3.9,48,Sushi Roll,Starter,$11.99,800,No
R0016,Healthy Bowl,Healthy,Houston,TX,3.6,52,Salad,Beverage,$7.49,170,No
R0003,Taco Fiesta,Mexican,Houston,TX,4.0,60,Sushi Roll,Snack,$11.99,504,Yes
R0090,BBQ Nation,American,Chicago,IL,3.6,27,Sushi Roll,Beverage,$11.99,255,Yes
R0163,Cafe Delight,Cafe,Dallas,TX,4.2,49,Paneer Tikka,Main Course,$10.99,550,Yes
R0242,Spice Route,Indian,Phoenix,AZ,4.3,19,Burger,Dessert,$8.99,1152,No
R0173,Sushi Express,Japanese,Chicago,IL,4.9,53,Butter Chicken,Dessert,$13.99,1031,Yes
R0229,BBQ Nation,American,Los Angeles,CA,4.1,49,Paneer Tikka,Snack,$10.99,1026,No
R0189,Cafe Delight,Cafe,Phoenix,AZ,3.7,58,Burger,Starter,$8.99,287,Yes
R0198,Dragon Wok,Chinese,Boston,MA,3.8,25,Burger,Snack,$8.99,464,Yes
R0210,Burger Haven,American,Boston,MA,4.0,44,Salad,Main Course,$7.49,425,No
R0122,Cafe Delight,Cafe,Houston,TX,3.5,50,Salad,Snack,$7.49,862,No
R0013,Burger Haven,American,Boston,MA,3.6,36,Coffee,Dessert,$3.99,533,Yes
R0251,Taco Fiesta,Mexican,New York,NY,3.7,24,Coffee,Main Course,$3.99,645,Yes
R0104,Taco Fiesta,Mexican,Boston,MA,4.3,33,Pasta,Starter,$10.49,809,Yes
R0194,Taco Fiesta,Mexican,Phoenix,AZ,3.7,42,Taco,Snack,$4.99,861,No
R0226,Cafe Delight,Cafe,Seattle,WA,4.7,20,Sushi Roll,Dessert,$11.99,712,No
R0064,Burger Haven,American,Los Angeles,CA,4.8,45,Salad,Dessert,$7.49,280,No
R0239,Mediterraneo,Mediterranean,Houston,TX,4.9,46,Butter Chicken,Dessert,$13.99,816,No
R0035,BBQ Nation,American,Chicago,IL,4.9,51,Coffee,Starter,$3.99,372,No
R0166,Mediterraneo,Mediterranean,Chicago,IL,3.6,58,Noodles,Main Course,$9.49,129,Yes
R0040,Sushi Express,Japanese,Boston,MA,4.0,56,Taco,Beverage,$4.99,389,No
R0226,Healthy Bowl,Healthy,Chicago,IL,4.5,16,Pizza,Main Course,$12.99,1184,No
R0160,Dragon Wok,Chinese,Seattle,WA,3.8,54,Paneer Tikka,Snack,$10.99,1125,No
R0070,Mediterraneo,Mediterranean,Phoenix,AZ,4.7,34,Noodles,Starter,$9.49,909,Yes
R0050,Dragon Wok,Chinese,New York,NY,4.1,58,Taco,Dessert,$4.99,237,Yes
R0089,Cafe Delight,Cafe,Phoenix,AZ,4.0,19,Pasta,Main Course,$10.49,201,Yes
R0100,Healthy Bowl,Healthy,Boston,MA,4.8,38,Salad,Starter,$7.49,1009,Yes
R0016,Healthy Bowl,Healthy,Phoenix,AZ,3.6,36,Paneer Tikka,Snack,$10.99,411,Yes
R0226,Spice Route,Indian,Seattle,WA,4.7,50,Salad,Dessert,$7.49,584,Yes
R0082,Taco Fiesta,Mexican,Chicago,IL,3.7,22,Butter Chicken,Beverage,$13.99,860,Yes
R0274,Healthy Bowl,Healthy,Boston,MA,4.8,40,Pasta,Dessert,$10.49,569,No
R0106,Mediterraneo,Mediterranean,Dallas,TX,4.3,15,Pasta,Snack,$10.49,596,Yes
R0245,Healthy Bowl,Healthy,Los Angeles,CA,4.1,34,Taco,Snack,$4.99,681,No
R0149,Burger Haven,American,Phoenix,AZ,4.9,24,Pasta,Beverage,$10.49,975,No
R0102,Taco Fiesta,Mexican,New York,NY,5.0,47,Pizza,Main Course,$12.99,684,No
R0199,Burger Haven,American,Phoenix,AZ,4.9,26,Paneer Tikka,Dessert,$10.99,555,No
R0175,Pizza Palace,Italian,Phoenix,AZ,4.4,15,Coffee,Snack,$3.99,785,No
R0151,Dragon Wok,Chinese,Los Angeles,CA,5.0,57,Butter Chicken,Snack,$13.99,1088,Yes
R0297,Taco Fiesta,Mexican,Chicago,IL,4.9,52,Sushi Roll,Starter,$11.99,1007,No
R0177,Cafe Delight,Cafe,Seattle,WA,4.0,43,Paneer Tikka,Main Course,$10.99,504,No
R0174,Healthy Bowl,Healthy,Los Angeles,CA,4.6,40,Burger,Main Course,$8.99,548,Yes
R0025,Mediterraneo,Mediterranean,Seattle,WA,4.2,42,Paneer Tikka,Dessert,$10.99,951,No
R0133,Dragon Wok,Chinese,Phoenix,AZ,4.6,48,Pasta,Snack,$10.49,186,Yes
R0255,Cafe Delight,Cafe,Dallas,TX,4.8,15,Pasta,Starter,$10.49,160,No
R0146,Healthy Bowl,Healthy,Houston,TX,3.8,51,Taco,Beverage,$4.99,993,No
R0093,Burger Haven,American,Seattle,WA,4.6,45,Sushi Roll,Starter,$11.99,693,No
R0228,Sushi Express,Japanese,Los Angeles,CA,4.5,32,Paneer Tikka,Starter,$10.99,310,No
R0119,Dragon Wok,Chinese,Phoenix,AZ,4.4,30,Burger,Beverage,$8.99,214,No
R0255,Cafe Delight,Cafe,Los Angeles,CA,3.7,22,Noodles,Snack,$9.49,746,Yes
R0139,Pizza Palace,Italian,New York,NY,4.4,38,Burger,Starter,$8.99,1090,No
R0229,Dragon Wok,Chinese,Phoenix,AZ,4.6,60,Sushi Roll,Beverage,$11.99,1138,Yes
R0131,Healthy Bowl,Healthy,Seattle,WA,4.0,60,Butter Chicken,Starter,$13.99,171,Yes
R0143,Sushi Express,Japanese,Dallas,TX,4.2,17,Butter Chicken,Starter,$13.99,103,Yes
R0082,Cafe Delight,Cafe,Dallas,TX,4.7,25,Burger,Snack,$8.99,324,No
R0137,Taco Fiesta,Mexican,New York,NY,4.6,17,Sushi Roll,Beverage,$11.99,956,No
R0246,Sushi Express,Japanese,Houston,TX,3.7,27,Pasta,Dessert,$10.49,517,Yes
R0162,Mediterraneo,Mediterranean,Boston,MA,3.8,52,Paneer Tikka,Starter,$10.99,595,No
R0206,Pizza Palace,Italian,Chicago,IL,4.6,37,Pizza,Beverage,$12.99,932,Yes
R0171,Mediterraneo,Mediterranean,Phoenix,AZ,3.5,23,Pasta,Snack,$10.49,1146,Yes
R0300,Dragon Wok,Chinese,Houston,TX,4.0,33,Noodles,Beverage,$9.49,647,No
R0149,Spice Route,Indian,Seattle,WA,4.5,32,Salad,Starter,$7.49,507,No
R0277,Mediterraneo,Mediterranean,Seattle,WA,4.7,45,Salad,Dessert,$7.49,1035,Yes
